Hiligaynon Word,English Meaning,Syllables (Dash Separated),Stress Index (0-based)
Eskwelahan,School,Es-kwe-la-han,2
Simbahan,Church,Sim-ba-han,1
Ospital,Hospital,Os-pi-tal,2
Pulisya,Police,Pu-lis-ya,1
Bombero,Firefighter,Bom-be-ro,1
Maestro,Male Teacher,Ma-es-tro,1
Maestra,Female Teacher,Ma-es-tra,1
Estudyante,Student,Es-tud-yan-te,2
Pandayan,Blacksmith / Forge,Pan-da-yan,1
Mangingisda,Fisherman,Ma-ngi-ngis-da,2
Mangunguma,Farmer,Ma-ngu-ngu-ma,2
Manugbaligya,Seller / Vendor,Ma-nug-ba-lig-ya,3
Manugbakal,Buyer / Shopper,Ma-nug-ba-kal,3
Salakyan,Vehicle,Sa-lak-yan,1
Eroplano,Airplane,E-rop-la-no,2
Pasahero,Passenger,Pa-sa-he-ro,2
Baybayon,Beach / Shore,Bay-ba-yon,1
Talampas,Plateau,Ta-lam-pas,2
Kapatagan,Plains,Ka-pa-ta-gan,2
Kagulangan,Forest,Ka-gu-la-ngan,2
Kasapatan,Animals,Ka-sa-pa-tan,2
Kalibutan,World,Ka-li-bu-tan,2
Kasanag,Brightness,Ka-sa-nag,1
Kadulom,Darkness,Ka-du-lom,1
Palanggaon,To be loved,Pa-lang-ga-on,2
Madinalag-on,Successful,Ma-di-na-lag-on,3
